Timestamp,10/25/2024 4:31:13 PM,Timestamp,10/25/2024 4:31:13 PM,Timestamp,10/25/2024 4:31:13 PM,Timestamp,10/25/2024 4:31:13 PM
Interval,0.004,Interval,0.004,Interval,0.004,Interval,0.004
Channel name,"Input 0",Channel name,"Input 1",Channel name,"Input 2",Channel name,"Input 3"
Unit,"V",Unit,"V",Unit,"V",Unit,"V"
0,0.0019884110682255665,0,-0.00098705297631341074,0,0.0011765957579967831,0,0.0012910366827867438
0.004,-0.0021582843159606646,0.004,-0.0012588501726895674,0.004,-0.00071883205883694051,0.004,-0.0016003848076096062
0.008,-0.0021582843159606646,0.008,-0.0012588501726895674,0.008,-0.00071883205883694051,0.008,-0.0016003848076096062
0.012,-0.0021582843159606646,0.012,-0.0012588501726895674,0.012,-0.00071883205883694051,0.012,-0.0016003848076096062
0.016,-0.00076353554508301884,0.016,-0.00067949299094039145,0.016,-0.00040411951566454859,0.016,-0.00072240833773662676
0.02,-0.00076353554508301884,0.02,-0.00067949299094039145,0.02,-0.00040411951566454859,0.02,-0.00072240833773662676
0.024,-0.00076353554508301884,0.024,-0.00067949299094039145,0.024,-0.00040411951566454859,0.024,-0.00072240833773662676
0.028,0.003021955670234899,0.028,0.00034332277436988198,0.028,0.00090122228272094033,0.028,0.002666115919716115
0.032,0.003021955670234899,0.032,0.00034332277436988198,0.032,0.00090122228272094033,0.032,0.002666115919716115
0.036,0.003021955670234899,0.036,0.00034332277436988198,0.036,0.00090122228272094033,0.036,0.002666115919716115
0.04,-0.00086188321482439127,0.04,-0.0010228157653102735,0.04,-0.00022888184957992134,0.04,-0.00064551834139337189
0.044,-0.00086188321482439127,0.044,-0.0010228157653102735,0.044,-0.00022888184957992134,0.044,-0.00064551834139337189
0.048,-0.00086188321482439127,0.048,-0.0010228157653102735,0.048,-0.00022888184957992134,0.048,-0.00064551834139337189
0.052,-0.0038820507456094472,0.052,0.00055074695055168572,0.052,-0.001677274803952861,0.052,-0.0035136940189417613
0.056,-0.0038820507456094472,0.056,0.00055074695055168572,0.056,-0.001677274803952861,0.056,-0.0035136940189417613
0.06,-0.0038820507456094472,0.06,0.00055074695055168572,0.06,-0.001677274803952861,0.06,-0.0035136940189417613
0.064,0.00077247624233223449,0.064,0.0014090538864763907,0.064,0.00028252603307521543,0.064,0.00057578090284948963
0.068,0.00077247624233223449,0.068,0.0014090538864763907,0.068,0.00028252603307521543,0.068,0.00057578090284948963
0.072,0.00077247624233223449,0.072,0.0014090538864763907,0.072,0.00028252603307521543,0.072,0.00057578090284948963
0.076,0.0027769805656063895,0.076,0.00014305115598745084,0.076,0.0011515618056989793,0.076,0.0026822091747647032
0.08,0.0027769805656063895,0.08,0.00014305115598745084,0.08,0.0011515618056989793,0.08,0.0026822091747647032
0.084,0.0027769805656063895,0.084,0.00014305115598745084,0.084,0.0011515618056989793,0.084,0.0026822091747647032
0.088,-0.00080108647352972466,0.088,-0.0016736985250531747,0.088,-0.00071883205883694051,0.088,-0.0010728836699058814
0.092,-0.00080108647352972466,0.092,-0.0016736985250531747,0.092,-0.00071883205883694051,0.092,-0.0010728836699058814
0.096,-0.00080108647352972466,0.096,-0.0016736985250531747,0.096,-0.00071883205883694051,0.096,-0.0010728836699058814
0.1,-0.0016862155012020768,0.1,-0.00075101856893411694,0.1,-0.00072598461663631302,0.1,-0.0013035536589356457
0.104,-0.0016862155012020768,0.104,-0.00075101856893411694,0.104,-0.00072598461663631302,0.104,-0.0013035536589356457
0.108,-0.0016862155012020768,0.108,-0.00075101856893411694,0.108,-0.00072598461663631302,0.108,-0.0013035536589356457
0.112,0.002798438239004507,0.112,0.00099420553411278326,0.112,0.00065445903864258753,0.112,0.0016862155012020768
0.116,0.002798438239004507,0.116,0.00099420553411278326,0.116,0.00065445903864258753,0.116,0.0016862155012020768
0.12,0.002798438239004507,0.12,0.00099420553411278326,0.12,0.00065445903864258753,0.12,0.0016862155012020768
0.124,0.00038981440006580356,0.124,-0.0015020371378682339,0.124,-0.00020384789728211745,0.124,0.0006222725285454111
0.128,0.00038981440006580356,0.128,-0.0015020371378682339,0.128,-0.00020384789728211745,0.128,0.0006222725285454111
0.132,0.00038981440006580356,0.132,-0.0015020371378682339,0.132,-0.00020384789728211745,0.132,0.0006222725285454111
0.136,-0.0027805568445060757,0.136,-0.00088691716712219518,0.136,-0.001412630165376077,0.136,-0.0028413535858007421
0.14,-0.0027805568445060757,0.14,-0.00088691716712219518,0.14,-0.001412630165376077,0.14,-0.0028413535858007421
0.144,-0.0027805568445060757,0.144,-0.00088691716712219518,0.144,-0.001412630165376077,0.144,-0.0028413535858007421
0.148,0.00072062019828678364,0.148,7.1525577993725422E-05,0.148,0.00032186510097176438,0.148,0.00033259393767082321
0.152,0.00072062019828678364,0.152,7.1525577993725422E-05,0.152,0.00032186510097176438,0.152,0.00033259393767082321
0.156,0.00072062019828678364,0.156,7.1525577993725422E-05,0.156,0.00032186510097176438,0.156,0.00033259393767082321
0.16,0.0040912630612410942,0.16,0.00079393391573035215,0.16,0.002219081057255331,0.16,0.0032687189143132517
0.164,0.0040912630612410942,0.164,0.00079393391573035215,0.164,0.002219081057255331,0.164,0.0032687189143132517
0.168,0.0040912630612410942,0.168,0.00079393391573035215,0.168,0.002219081057255331,0.168,0.0032687189143132517
0.172,-0.00080645089187925405,0.172,-0.00067949299094039145,0.172,-0.0006401539230438425,0.172,-0.00061333183129619545
0.176,-0.00080645089187925405,0.176,-0.00067949299094039145,0.176,-0.0006401539230438425,0.176,-0.00061333183129619545
0.18,-0.00080645089187925405,0.18,-0.00067949299094039145,0.18,-0.0006401539230438425,0.18,-0.00061333183129619545
0.184,-0.0016701222461534884,0.184,-0.00050783160375545051,0.184,-0.0007975101946300384,0.184,-0.00180780898379141
0.188,-0.0016701222461534884,0.188,-0.00050783160375545051,0.188,-0.0007975101946300384,0.188,-0.00180780898379141
0.192,-0.0016701222461534884,0.192,-0.00050783160375545051,0.192,-0.0007975101946300384,0.192,-0.00180780898379141
0.196,0.0018060208443415669,0.196,-0.00061511997074603858,0.196,0.00085651879647486188,0.196,0.0017184020112992532
0.2,0.0018060208443415669,0.2,-0.00061511997074603858,0.2,0.00085651879647486188,0.2,0.0017184020112992532
0.204,0.0018060208443415669,0.204,-0.00061511997074603858,0.204,0.00085651879647486188,0.204,0.0017184020112992532
0.208,0.0011444092478996068,0.208,0.00041484835236360742,0.208,0.00013947487708776456,0.208,0.00088870530657203831
0.212,0.0011444092478996068,0.212,0.00041484835236360742,0.212,0.00013947487708776456,0.212,0.00088870530657203831
0.216,0.0011444092478996068,0.216,0.00041484835236360742,0.216,0.00013947487708776456,0.216,0.00088870530657203831
0.22,-0.0026732684775154876,0.22,-0.0028681756775483891,0.22,-0.0011318922717507048,0.22,-0.0026625396408164288
0.224,-0.0026732684775154876,0.224,-0.0028681756775483891,0.224,-0.0011318922717507048,0.224,-0.0026625396408164288
0.228,-0.0026732684775154876,0.228,-0.0028681756775483891,0.228,-0.0011318922717507048,0.228,-0.0026625396408164288
0.232,0.00049889090650623476,0.232,0.0006222725285454111,0.232,0.00044524672301094072,0.232,0.00090658670107046971
0.236,0.00049889090650623476,0.236,0.0006222725285454111,0.236,0.00044524672301094072,0.236,0.00090658670107046971
0.24,0.00049889090650623476,0.24,0.0006222725285454111,0.24,0.00044524672301094072,0.24,0.00090658670107046971
0.244,0.0035387279712395651,0.244,-0.00016450882938556847,0.244,0.001940131303079802,0.244,0.0032329561253163887
