Timestamp,10/25/2024 4:49:44 PM,Timestamp,10/25/2024 4:49:44 PM,Timestamp,10/25/2024 4:49:44 PM,Timestamp,10/25/2024 4:49:44 PM
Interval,0.004,Interval,0.004,Interval,0.004,Interval,0.004
Channel name,"Input 0",Channel name,"Input 1",Channel name,"Input 2",Channel name,"Input 3"
Unit,"V",Unit,"A",Unit,"V",Unit,"V"
0,-0.0013375283084826653,0,3.8743021413267935E-07,0,-0.00028252603307521543,0,-0.0011050701800030577
0.004,-0.0013375283084826653,0.004,3.8743021413267935E-07,0.004,-0.00028252603307521543,0.004,-0.0011050701800030577
0.008,-0.0013375283084826653,0.008,3.8743021413267935E-07,0.008,-0.00028252603307521543,0.008,-0.0011050701800030577
0.012,0.0022065640811064291,0.012,-2.9802324164052259E-09,0.012,0.00074207787168490118,0.012,0.0017935038681926648
0.016,0.0022065640811064291,0.016,-2.9802324164052259E-09,0.016,0.00074207787168490118,0.016,0.0017935038681926648
0.02,0.0022065640811064291,0.02,-2.9802324164052259E-09,0.02,0.00074207787168490118,0.02,0.0017935038681926648
0.024,-0.0016272068993572533,0.024,2.5629998781084944E-07,0.024,-0.0007367134533353718,0.024,-0.0015127659745672927
0.028,-0.0016272068993572533,0.028,2.5629998781084944E-07,0.028,-0.0007367134533353718,0.028,-0.0015127659745672927
0.032,-0.0016272068993572533,0.032,2.5629998781084944E-07,0.032,-0.0007367134533353718,0.032,-0.0015127659745672927
0.036,-0.00069379810653913659,0.036,1.1414290154832015E-06,0.036,-8.9406972492156767E-05,0.036,-0.0014770031855704299
0.04,-0.00069379810653913659,0.04,1.1414290154832015E-06,0.04,-8.9406972492156767E-05,0.04,-0.0014770031855704299
0.044,-0.00069379810653913659,0.044,1.1414290154832015E-06,0.044,-8.9406972492156767E-05,0.044,-0.0014770031855704299
0.048,0.0026196242940201933,0.048,1.0102987891613715E-06,0.048,0.0012588501726895674,0.048,0.0026732684775154876
0.052,0.0026196242940201933,0.052,1.0102987891613715E-06,0.052,0.0012588501726895674,0.052,0.0026732684775154876
0.056,0.0026196242940201933,0.056,1.0102987891613715E-06,0.056,0.0012588501726895674,0.056,0.0026732684775154876
0.06,-0.00077605252123192075,0.06,-6.7949299094039154E-07,0.06,-0.00043630602576172508,0.06,-0.00035047533216925455
0.064,-0.00077605252123192075,0.064,-6.7949299094039154E-07,0.064,-0.00043630602576172508,0.064,-0.00035047533216925455
0.068,-0.00077605252123192075,0.068,-6.7949299094039154E-07,0.068,-0.00043630602576172508,0.068,-0.00035047533216925455
0.072,-0.0031238796188759578,0.072,-7.063150826880385E-07,0.072,-0.0013142824956347047,0.072,-0.0029629470683900754
0.076,-0.0031238796188759578,0.076,-7.063150826880385E-07,0.076,-0.0013142824956347047,0.076,-0.0029629470683900754
0.08,-0.0031238796188759578,0.08,-7.063150826880385E-07,0.08,-0.0013142824956347047,0.08,-0.0029629470683900754
0.084,0.00036120416886831338,0.084,5.1558020803810407E-07,0.084,0.00018239022388399982,0.084,0.00026464463857678403
0.088,0.00036120416886831338,0.088,5.1558020803810407E-07,0.088,0.00018239022388399982,0.088,0.00026464463857678403
0.092,0.00036120416886831338,0.092,5.1558020803810407E-07,0.092,0.00018239022388399982,0.092,0.00026464463857678403
0.096,0.0027233363821110952,0.096,1.2814999390542472E-07,0.096,0.00074207787168490118,0.096,0.0025552512738258406
0.1,0.0027233363821110952,0.1,1.2814999390542472E-07,0.1,0.00074207787168490118,0.1,0.0025552512738258406
0.104,0.0027233363821110952,0.104,1.2814999390542472E-07,0.104,0.00074207787168490118,0.104,0.0025552512738258406
0.108,-0.001280307846087685,0.108,-1.1742115720636589E-06,0.108,-0.00046670439640905838,0.108,-0.0010299683231096461
0.112,-0.001280307846087685,0.112,-1.1742115720636589E-06,0.112,-0.00046670439640905838,0.112,-0.0010299683231096461
0.116,-0.001280307846087685,0.116,-1.1742115720636589E-06,0.116,-0.00046670439640905838,0.116,-0.0010299683231096461
0.12,-0.0020939112957663116,0.12,-2.9802324164052259E-09,0.12,-0.00068306926984007771,0.12,-0.001412630165376077
0.124,-0.0020939112957663116,0.124,-2.9802324164052259E-09,0.124,-0.00068306926984007771,0.124,-0.001412630165376077
0.128,-0.0020939112957663116,0.128,-2.9802324164052259E-09,0.128,-0.00068306926984007771,0.128,-0.001412630165376077
0.132,0.0027179719637615658,0.132,4.3809416521156818E-07,0.132,0.0010943413433039989,0.132,0.0020080806021738409
0.136,0.0027179719637615658,0.136,4.3809416521156818E-07,0.136,0.0010943413433039989,0.136,0.0020080806021738409
0.14,0.0027179719637615658,0.14,4.3809416521156818E-07,0.14,0.0010943413433039989,0.14,0.0020080806021738409
0.144,0.00061511997074603858,0.144,-2.9802324164052258E-08,0.144,6.0796741294666607E-05,0.144,7.1525577993725422E-05
0.148,0.00061511997074603858,0.148,-2.9802324164052258E-08,0.148,6.0796741294666607E-05,0.148,7.1525577993725422E-05
0.152,0.00061511997074603858,0.152,-2.9802324164052258E-08,0.152,6.0796741294666607E-05,0.152,7.1525577993725422E-05
0.156,-0.0028735400958979189,0.156,7.5101856893411694E-07,0.156,-0.0013124943561848615,0.156,-0.002902150327095409
0.16,-0.0028735400958979189,0.16,7.5101856893411694E-07,0.16,-0.0013124943561848615,0.16,-0.002902150327095409
0.164,-0.0028735400958979189,0.164,7.5101856893411694E-07,0.164,-0.0013124943561848615,0.164,-0.002902150327095409
0.168,0.00072598461663631302,0.168,-8.1062321726222145E-07,0.168,0.00031650068262223499,0.168,0.00085651879647486188
0.172,0.00072598461663631302,0.172,-8.1062321726222145E-07,0.172,0.00031650068262223499,0.172,0.00085651879647486188
0.176,0.00072598461663631302,0.176,-8.1062321726222145E-07,0.176,0.00031650068262223499,0.176,0.00085651879647486188
0.18,0.0041592123603351331,0.18,-6.7949299094039154E-07,0.18,0.0011801720368964693,0.18,0.0030612947381314479
0.184,0.0041592123603351331,0.184,-6.7949299094039154E-07,0.184,0.0011801720368964693,0.184,0.0030612947381314479
0.188,0.0041592123603351331,0.188,-6.7949299094039154E-07,0.188,0.0011801720368964693,0.188,0.0030612947381314479
0.192,-0.0006401539230438425,0.192,1.7881394498431355E-07,0.192,-0.00024318696517866643,0.192,-0.00088512902767235206
0.196,-0.0006401539230438425,0.196,1.7881394498431355E-07,0.196,-0.00024318696517866643,0.196,-0.00088512902767235206
0.2,-0.0006401539230438425,0.2,1.7881394498431355E-07,0.2,-0.00024318696517866643,0.2,-0.00088512902767235206
0.204,-0.001611113644308665,0.204,-3.6656858721784278E-07,0.204,-0.0013107062167350182,0.204,-0.0016164780626581944
0.208,-0.001611113644308665,0.208,-3.6656858721784278E-07,0.208,-0.0013107062167350182,0.208,-0.0016164780626581944
0.212,-0.001611113644308665,0.212,-3.6656858721784278E-07,0.212,-0.0013107062167350182,0.212,-0.0016164780626581944
0.216,0.0013715029580296848,0.216,-8.0466275242941099E-08,0.216,0.0004827976514576466,0.216,0.0015217066718165083
0.22,0.0013715029580296848,0.22,-8.0466275242941099E-08,0.22,0.0004827976514576466,0.22,0.0015217066718165083
0.224,0.0013715029580296848,0.224,-8.0466275242941099E-08,0.224,0.0004827976514576466,0.224,0.0015217066718165083
0.228,0.0016486645727553709,0.228,8.5532670350829979E-07,0.228,0.00079393391573035215,0.228,0.0012785197066378419
0.232,0.0016486645727553709,0.232,8.5532670350829979E-07,0.232,0.00079393391573035215,0.232,0.0012785197066378419
0.236,0.0016486645727553709,0.236,8.5532670350829979E-07,0.236,0.00079393391573035215,0.236,0.0012785197066378419
